time_s,gps_available,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw,accel_bias_x,accel_bias_y,gyro_bias_z,reference_x,reference_y,position_error,position_error_x,position_error_y
0.0,True,-28.591625131209717,16.03963533507372,-5.192233872195818,4.307798315302335,-0.32025046444843963,0.0,0.0,0.0,0.0,0.0,32.78339410930126,-28.591625131209717,16.03963533507372
0.0999999999999996,True,-18.808892021759362,11.713830117855755,-5.029228979288651,2.517983454891279,-0.32193046444843965,-3.109494760847501e-05,0.0016043047309352743,0.0,-0.4890124980328774,-0.25603482944673644,21.88368462166538,-18.319879523726485,11.969864947302492
0.1989999999999998,True,-16.16980086954583,7.704053231586562,-4.8759752127146445,1.0636874028602343,-0.3196138644484397,-0.00011728136576784372,0.004484465380080567,0.0,-0.966410949233633,-0.46542679094665507,17.259300939134814,-15.203389920312198,8.169480022533218
0.2989999999999999,True,-13.495164049623611,5.774510474368713,-4.63711550148257,0.3054216211996368,-0.3164538644484397,-0.0007807075987967402,0.0074516269232202115,0.0,-1.462079450680642,-0.7099957119005333,13.669087220626057,-12.033084598942969,6.484506186269246
0.3999999999999999,True,-11.945286688802826,4.1148839743679915,-4.521395550218602,-0.2965450377885755,-0.3175042644484397,-0.0009407154128747938,0.010699535894805358,0.0,-1.9560499920963317,-0.9573476209326304,11.203230924121556,-9.989236696706493,5.072231595300622
0.4989999999999996,True,-10.526348891086524,3.527979010973321,-4.245601720496507,-0.7960011020562542,-0.31638556444843974,-0.002210504821246903,0.014791186977041244,0.0,-2.440172365134048,-1.188780841867675,9.361307297500572,-8.086176525952476,4.716759852840996
0.5999999999999996,True,-9.848571319919191,3.210194613819729,-3.9627212158740357,-0.9882372840949453,-0.31657746444843976,-0.004272544918063777,0.016415575511295976,0.0,-2.9408668284018407,-1.4248894821982765,8.318676933220091,-6.90770449151735,4.635084096018005
0.6999999999999997,True,-9.282228250864065,2.1586578282844,-3.7538060373625055,-1.4386220044667652,-0.32034746444843976,-0.005258326119766568,0.020864055233963313,0.0,-3.450254847182854,-1.6586604132268288,6.9702103510740185,-5.831973403681212,3.817318241511229
0.7999999999999998,True,-8.875881947904384,1.2971315170514508,-3.4958929260042253,-1.5768818024793125,-0.32274746444843977,-0.008706770426837571,0.021455922622297608,0.0,-3.9528510257032208,-1.9035632926558443,5.872025266110156,-4.923030922201163,3.2006948097072954
0.899,True,-8.457117673524014,0.751530328140948,-3.20429420035039,-1.814108018155587,-0.32635106444843975,-0.011694759629447929,0.02456050747364675,0.0,-4.463869086148117,-2.1239758846569567,4.920830240967366,-3.9932485873758967,2.8755062127979047
1.0,True,-8.65188116378838,0.09754954708710045,-3.421113778826676,-1.9833929514662034,-0.3290275644484397,-0.003215617944512925,0.026505817934018214,0.0,-4.985210743774122,-2.3265773578749602,4.395550388787333,-3.666670420014258,2.4241269049620606
1.0989999999999998,True,-8.415960903308639,-0.2756184871856827,-3.116933062134861,-1.987516031424905,-0.3349378644484397,-0.0019182022983585565,0.022672362625865188,0.0,-5.489504882397379,-2.5580105788098435,3.7112610393552585,-2.9264560209112593,2.282392091624161
1.1990000000000005,True,-8.741843203997696,-0.6837341601853562,-3.2615643882523755,-1.965246069026804,-0.33731786444843964,0.006095147394419183,0.01954772162946536,0.0,-5.992168979297041,-2.7917815098301637,3.464761459368833,-2.749674224700655,2.1080473496448073
1.299,True,-8.813489898021063,-0.9083996784875334,-3.206740869837838,-1.944704635108727,-0.3331878644484397,0.009437658166992841,0.01626737428492,0.0,-6.501489079638908,-3.0145318103414844,3.1274814693339783,-2.3120008183821543,2.106132131853951
1.3989999999999996,True,-9.055943487582166,-1.2288449137164372,-3.385667896727802,-2.1340383329849653,-0.33790786444843973,0.020391950137973607,0.020952695767223743,0.0,-6.997429254731285,-3.2261501632179663,2.868224033532948,-2.0585142328508805,1.997305249501529
1.4999999999999996,True,-8.994737534095417,-1.677569175442317,-3.3419696947905755,-2.342541941398986,-0.32730286444843976,0.03152290383084244,0.022083855487005664,0.0,-7.48460795590798,-3.473168112998315,2.346202652685568,-1.5101295781874375,1.795598937555998
1.5989999999999998,True,-9.342579369597125,-2.0992741155149424,-3.2076138395271,-2.353426795271585,-0.3339754644484398,0.03256495944674671,0.0160053775813636,0.0,-7.968730328960628,-3.693580704215716,2.104584207208759,-1.3738490406364967,1.5943065887007735
