model,position_rmse_m,final_position_error_m,maximum_position_error_m,drift_rate_mps
Physics only,265.78928667224073,333.20671249678986,333.20671249678986,37.8643991473625
Hybrid position residual,230.6131071865624,270.2960995489472,270.2960995489472,30.71546585783492
Hybrid velocity residual,230.1998603515857,269.7186557347179,269.7186557347179,30.64984724258159
EKF,146.38619646540673,283.79251298592425,283.79251298592425,4.729875216432071
