time_s,gps_x,gps_y,dr_x,dr_y,gps_available,estimated_heading_deg,speed_mps,position_error_m
5.999,-19.023604949278116,-9.829399718119143,-19.023604949278116,-9.829399718119143,True,65.84725000001208,0.45052777777778563,0.0
6.1,-19.05111190229084,-9.840642986433076,-19.05111190229084,-9.840642986433076,True,66.14725000001208,0.3999999999994746,0.0
6.199,-19.084731511521923,-9.840642986433076,-19.084731511521923,-9.840642986433076,True,66.26725000001208,0.3642499999989543,0.0
6.301,-19.09885853925034,-9.851886253956037,-19.09885853925034,-9.851886253956037,True,64.70725000001208,0.3135833333342181,0.0
6.399,-19.1188265495797,-9.86279556495642,-19.1188265495797,-9.86279556495642,True,64.73725000001208,0.2836388888893379,0.0
6.499,-19.132478148496503,-9.873927514165834,-19.132478148496503,-9.873927514165834,True,64.87725000001208,0.25583333333333746,0.0
6.599,-19.1460618289901,-9.885059463375251,-19.1460618289901,-9.885059463375251,True,65.36725000001208,0.22255555555507528,0.0
6.7,-19.152989506045607,-9.885170782479769,-19.152989506045607,-9.885170782479769,True,67.27725000001207,0.0,0.0
6.799,-19.166437349753117,-9.885170782479769,-19.166437349753117,-9.885170782479769,True,67.48725000001208,0.0,0.0
6.899,-19.173297108385412,-9.885170782479769,-19.173297108385412,-9.885170782479769,True,66.11725000001208,0.0,0.0
7.0,-19.18015686706296,-9.896302731689186,-19.18015686706296,-9.896302731689186,True,68.38725000001207,0.0,0.0
7.099,-19.186880788879012,-9.896302731689186,-19.186880788879012,-9.896302731689186,True,68.53725000001208,0.0,0.0
7.199,-19.193672629133353,-9.907323361794084,-19.193672629133353,-9.907323361794084,True,68.96725000001209,0.0,0.0
7.299,-19.20046446938769,-9.907434680898602,-19.20046446938769,-9.907434680898602,True,69.17725000001208,0.0,0.0
7.4,-19.200532387795814,-9.907434680898602,-19.200532387795814,-9.907434680898602,True,67.04725000001207,0.0,0.0
7.499,-19.200532387795814,-9.907434680898602,-19.200532387795814,-9.907434680898602,True,69.51725000001207,0.0,0.0
7.599,-19.193808465949598,-9.907434680898602,-19.193808465949598,-9.907434680898602,True,67.31725000001208,0.0,0.0
7.699,-19.18701662569526,-9.907434680898602,-19.18701662569526,-9.907434680898602,True,67.34725000001208,0.0,0.0
7.799,-19.180224785471083,-9.896414050793702,-19.180224785471083,-9.896414050793702,True,67.50725000001208,0.0,0.0
7.9,-19.173365026793537,-9.896302731689186,-19.173365026793537,-9.896302731689186,True,67.57725000001207,0.0,0.0
8.0,-19.16657318655428,-9.885170782479769,-19.16657318655428,-9.885170782479769,True,69.53725000001208,0.0,0.0
8.099,-19.159849264708065,-9.885170782479769,-19.159849264708065,-9.885170782479769,True,67.71725000001209,0.0,0.0
8.2,-19.152989506045607,-9.874038833270353,-19.152989506045607,-9.874038833270353,True,69.75725000001208,0.0,0.0
8.3,-19.146197665791263,-9.874038833270353,-19.146197665791263,-9.874038833270353,True,68.00725000001208,0.0,0.0
8.399,-19.13947374396013,-9.874038833270353,-19.13947374396013,-9.874038833270353,True,70.38725000001207,0.0,0.0
8.499,-19.139405825552007,-9.863018203956425,-19.139405825552007,-9.863018203956425,True,70.58725000001208,0.0,0.0
8.6,-19.132613985297667,-9.86290688485191,-19.132613985297667,-9.86290688485191,True,68.74725000001207,0.0,0.0
8.699,-19.12589006343637,-9.86290688485191,-19.12589006343637,-9.86290688485191,True,69.05725000001208,0.0,0.0
8.799,-19.119098223197113,-9.85188625474701,-19.119098223197113,-9.85188625474701,True,71.33725000001208,0.0,0.0
8.901,-19.11217054614161,-9.85177493485152,-19.11217054614161,-9.85177493485152,True,67.56725000001208,0.0,0.0
9.0,-19.10544662429539,-9.85177493485152,-19.10544662429539,-9.85177493485152,True,70.07725000001207,0.0,0.0
9.1,-19.098654784041052,-9.85177493485152,-19.098654784041052,-9.85177493485152,True,68.30725000001208,0.0,0.0
9.2,-19.091862943786715,-9.840642986433076,-19.091862943786715,-9.840642986433076,True,71.76725000001207,0.0,0.0
9.299,-19.085139021940503,-9.840642986433076,-19.085139021940503,-9.840642986433076,True,70.58725000001208,0.0,0.0
9.4,-19.08507110353238,-9.840642986433076,-19.08507110353238,-9.840642986433076,True,69.13725000001207,0.0,0.0
9.505,-19.077939671297745,-9.829511037223659,-19.077939671297745,-9.829511037223659,True,69.73725000001208,0.0,0.0
9.6,-19.071487423038782,-9.829511037223659,-19.071487423038782,-9.829511037223659,True,67.75725000001208,0.0,0.0
9.699,-19.064763501192562,-9.829511037223659,-19.064763501192562,-9.829511037223659,True,69.49725000001207,0.0,0.0
9.8,-19.057903742545182,-9.818379088014243,-19.057903742545182,-9.818379088014243,True,69.81725000001208,0.0,0.0
9.899,-19.057903742545182,-9.818379088014243,-19.057903742545182,-9.818379088014243,True,67.88725000001207,0.0,0.0
9.999,-19.051179820698966,-9.818379088014243,-19.051179820698966,-9.818379088014243,True,67.89725000001208,0.0,0.0
10.1,-19.044320062036505,-9.807247138804827,-19.044320062036505,-9.807247138804827,True,69.72725000001208,0.0,0.0
10.202,-19.03752822179725,-9.795892551386375,-19.03752822179725,-9.795892551386375,True,67.75725000001208,0.0,0.0
