time_s,reference_x,reference_y,dr_x,dr_y,position_error_m,estimated_heading_deg,estimated_speed_mps,outage
0.0,0.0,0.0,,,,,,False
0.0999999999999996,-0.48901249802586205,-0.25603482944365946,,,,,,False
0.1989999999999998,-0.9664109492278136,-0.46542679115409324,,,,,,False
0.2989999999999999,-1.4620794506766868,-0.7099957117018658,,,,,,False
0.3999999999999999,-1.9560499921034482,-0.9573476209361944,,,,,,False
0.4989999999999996,-2.4401723651365343,-1.1887808420654533,,,,,,False
0.5999999999999996,-2.9408668283944297,-1.4248894821948754,,,,,,False
0.6999999999999997,-3.450254847183309,-1.6586604132197018,,,,,,False
0.7999999999999998,-3.9528510257027674,-1.9035632926629724,,,,,,False
0.899,-4.463869086150877,-2.1239758844783054,,,,,,False
1.0,-4.985210743774122,-2.3265773578749602,,,,,,False
1.0989999999999998,-5.489504882391097,-2.558010579004219,,,,,,False
1.1990000000000005,-5.992168979303599,-2.791781510029046,,,,,,False
1.299,-6.501489079639111,-3.0145318101580014,,,,,,False
1.3989999999999996,-6.997429254735558,-3.226150163450458,,,,,,False
1.4999999999999996,-7.484607955907982,-3.473168112998316,,,,,,False
1.5989999999999998,-7.968730328956149,-3.693580704022676,,,,,,False
1.6999999999999995,-8.455841111735529,-3.9295780250475807,,,,,,False
1.799,-8.92651564104602,-4.1499906168629135,,,,,,False
1.9,-9.393115066261219,-4.385987937887817,,,,,,False
1.999,-9.843617830078308,-4.6174211582261036,,,,,,False
2.099,-10.291947205001339,-4.851192090041903,,,,,,False
2.2,-10.73789943585119,-5.076168780170936,,,,,,False
2.299,-11.161506512238175,-5.296581371986269,,,,,,False
2.399,-11.582668526158933,-5.519220353010707,,,,,,False
2.499,-11.990314777994218,-5.730838706303163,,,,,,False
2.6,-12.395108456914537,-5.955592757432188,,,,,,False
2.6990000000000003,-12.778372002269473,-6.176005350038493,,,,,,False
2.8000000000000003,-13.149002724708806,-6.40087072106301,,,,,,False
2.9,-13.508970257992713,-6.612377753669003,,,,,,False
2.999,-13.858614194056246,-6.810749086065511,,,,,,False
3.1,-14.201737963528096,-7.013127920462157,,,,,,False
3.2,-14.520954455301053,-7.213503003858735,,,,,,False
3.3000000000000003,-14.81979542629591,-7.402746138045897,,,,,,False
3.4,-15.118636397320932,-7.603121221442473,,,,,,False
3.499,-15.394317193076091,-7.790471924525055,,,,,,False
3.6,-15.68235913809928,-7.959343591397963,,,,,,False
3.7,-15.954032748137106,-8.126322827957264,,,,,,False
3.799,-16.216265700184756,-8.280611642307093,,,,,,False
3.899,-16.440803938860785,-8.436458929656979,,,,,,False
4.0,-16.687551495168357,-8.571600791588084,,,,,,False
4.1,-16.904890383171473,-8.705184179728164,,,,,,False
4.199,-17.113331960479563,-8.84845236555504,,,,,,False
4.299,-17.31715508636704,-8.938064554752959,,,,,,False
4.4,-17.51615600570003,-9.039142652055792,,,,,,False
4.5,-17.68595201196802,-9.139330194149569,,,,,,False
4.599,-17.854050058153568,-9.21647460171997,,,,,,False
4.699999999999999,-17.998376663486635,-9.30630943070887,,,,,,False
4.799,-18.132855100441105,-9.372433207383398,,,,,,False
4.898999999999999,-18.261967983606265,-9.42820427332597,,,,,,False
5.0,-18.37871971748832,-9.49555256489603,,,,,,False
5.099,-18.493026388919223,-9.539635082942707,,,,,,False
5.199,-18.5815919857978,-9.584162879780374,,,,,,False
5.299999999999999,-18.663977008019742,-9.629135953036108,,,,,,False
5.399999999999999,-18.745479091026564,-9.673663749873775,,,,,,False
5.5,-18.81339749352471,-9.707059598292997,,,,,,False
5.6,-18.854148535035662,-9.7404554443393,,,,,,False
5.699999999999999,-18.91527509724931,-9.773851291967551,,,,,,False
5.799,-18.94889470652563,-9.78487192207245,,,,,,False
5.898999999999999,-18.989577829613378,-9.818045129909718,,,,,,False
5.998999999999999,-19.023604949278116,-9.829399718119143,,,,,,False
6.1,-19.05111190229084,-9.840642986433076,,,,,,False
6.199,-19.084731511521923,-9.840642986433076,,,,,,False
