time_s,dr_x_m,dr_y_m,ref_x_m,ref_y_m,pos_error_m
7.899999999999999,25.505731533483402,-21.025752850181146,-10.213958758617549,-19.588764410927567,35.748583333303706
8.0,26.026459925597628,-21.439451526363143,-10.213958758617549,-19.588764410927567,36.28764237597218
8.099,26.540941862454048,-21.846956481569755,-10.213958758617549,-19.588764410927567,36.824206048369334
8.2,27.063070122939376,-22.260392265306564,-10.213958758617549,-19.588764410927567,37.37264343913503
8.299999999999999,27.578278939501008,-22.667934776257646,-10.213958758617549,-19.588764410927567,37.917469857175604
8.399,28.08742967522916,-23.071890891697414,-10.213958758617549,-19.588764410927567,38.459440012062664
8.498999999999999,28.597709068656638,-23.47864536072825,-10.213958758617549,-19.588764410927567,39.006111487025876
8.6,29.108326906979613,-23.88681471462033,-10.213958758617549,-19.588764410927567,39.55648349360572
8.699,29.60646686531081,-24.284175123980695,-10.213958758617549,-19.588764410927567,40.09629881466697
8.799,30.106780732326346,-24.68241729828093,-10.213958758617549,-19.588764410927567,40.64120240388325
8.901,30.618571960889437,-25.09208326465876,-10.213958758617549,-19.588764410927567,41.20172427660419
9.0,31.113490829180307,-25.48848094026258,-10.213958758617549,-19.588764410927567,41.74643391426964
9.1,31.60894695692313,-25.883607195765702,-10.213958758617549,-19.588764410927567,42.29397697281297
9.2,32.101022704754335,-26.275649418410126,-10.213958758617549,-19.588764410927567,42.840075715955514
9.299,32.584996306174276,-26.660005494548816,-10.213958758617549,-19.588764410927567,43.37917709109709
9.4,33.07224706700613,-27.048795873312038,-10.213958758617549,-19.588764410927567,43.92434045262403
9.505,33.57945042136493,-27.452733163436687,-10.213958758617549,-19.588764410927567,44.49387252359379
9.6,34.03817777272737,-27.817883091525616,-10.213958758617549,-19.588764410927567,45.010776285775826
9.699,34.5147199765361,-28.19673100098587,-10.213958758617549,-19.588764410927567,45.54944335782981
9.8,34.99724802152783,-28.58070275594152,-10.213958758617549,-19.588764410927567,46.096726279830285
9.899,35.46494518019707,-28.952870506350934,-10.213958758617549,-19.588764410927567,46.62884030316215
9.999,35.933921426627265,-29.32749385643904,-10.213958758617549,-19.588764410927567,47.164284122676804
10.1,36.40136932723789,-29.702249270739102,-10.213958758617549,-19.588764410927567,47.699804911148014
10.202,36.86918238579152,-30.077722604178966,-10.213958758617549,-19.588764410927567,48.23733433766963
10.299,37.311321302855376,-30.4335484072455,-10.213958758617549,-19.588764410927567,48.746913593049456
10.399,37.763734162571645,-30.79819772988323,-10.213958758617549,-19.588764410927567,49.26977180150159
10.5,38.21728274385358,-31.164213772042206,-10.213958758617549,-19.588764410927567,49.79534296882
10.599,38.65885512439944,-31.52043879747935,-10.213958758617549,-19.588764410927567,50.30821792223129
10.7,39.10560927260787,-31.88044498348058,-10.213958758617549,-19.588764410927567,50.82819298464534
10.799,39.539405637252614,-32.230582076487394,-10.213958758617549,-19.588764410927567,51.334324020069666
10.899,39.97369123283658,-32.58197402310515,-10.213958758617549,-19.588764410927567,51.84229651250694
10.999,40.40537720105458,-32.93142672871431,-10.213958758617549,-19.588764410927567,52.348293293331366
11.1,40.83839977840813,-33.28167823638914,-10.213958758617549,-19.588764410927567,52.85678008755864
11.199,41.25855523544983,-33.62247439694254,-10.213958758617549,-19.588764410927567,53.351332812227284
11.3,41.68327456540935,-33.96737812142718,-10.213958758617549,-19.588764410927567,53.85227347962438
11.4,42.098541198241456,-34.305259234287576,-10.213958758617549,-19.588764410927567,54.34310325719682
11.5,42.50967973705562,-34.64073308422305,-10.213958758617549,-19.588764410927567,54.83013603087538
11.6,42.917888395946726,-34.974394024689815,-10.213958758617549,-19.588764410927567,55.31465249522822
11.699,43.318630947735215,-35.302114414467745,-10.213958758617549,-19.588764410927567,55.791106181921705
11.799,43.720374138786184,-35.63037740990591,-10.213958758617549,-19.588764410927567,56.26940210004864
11.905,44.14187838365198,-35.975143305766814,-10.213958758617549,-19.588764410927567,56.77209212916291
12.0,44.515622489110854,-36.28151549223591,-10.213958758617549,-19.588764410927567,57.218659563242355
12.099,44.90049374073444,-36.5983057371544,-10.213958758617549,-19.588764410927567,57.67952297333904
12.2,45.29062961979824,-36.9196166737971,-10.213958758617549,-19.588764410927567,58.147379745047665
12.299,45.67082510706386,-37.23201729899479,-10.213958758617549,-19.588764410927567,58.60369817841036
12.399,46.05224271079094,-37.544257404388034,-10.213958758617549,-19.588764410927567,59.06170634543396
12.499,46.42956601097134,-37.853030361780625,-10.213958758617549,-19.588764410927567,59.51531155128502
12.6,46.80751528126455,-38.161910834756846,-10.213958758617549,-19.588764410927567,59.97007812035891
12.699,47.17375683680005,-38.46132751424707,-10.213958758617549,-19.588764410927567,60.41128652287843
12.802,47.55129818158035,-38.76965950115002,-10.213958758617549,-19.588764410927567,60.86650676545518
12.899,47.90414143835048,-39.057899498979296,-10.213958758617549,-19.588764410927567,61.29242034364137
12.999,48.26636695740722,-39.352829647545214,-10.213958758617549,-19.588764410927567,61.729788356429886
13.099,48.62733129707283,-39.645363713234936,-10.213958758617549,-19.588764410927567,62.16562226014635
13.2,48.98962517190825,-39.938503570982526,-10.213958758617549,-19.588764410927567,62.60332446524775
13.299,49.34126940557935,-40.22298667962679,-10.213958758617549,-19.588764410927567,63.02853584150305
13.4,49.69617609616328,-40.51001521555143,-10.213958758617549,-19.588764410927567,63.458041204783484
13.5,50.0432658764023,-40.79109515562828,-10.213958758617549,-19.588764410927567,63.878571913615325
13.599999999999998,50.387999378367596,-41.07061455721417,-10.213958758617549,-19.588764410927567,64.29671232453813
13.698999999999998,50.72907775773881,-41.345600612317355,-10.213958758617549,-19.588764410927567,64.71022810443532
13.8,51.07417066599379,-41.623632984174854,-10.213958758617549,-19.588764410927567,65.12887409903684
13.899,51.410420684955426,-41.893869905573126,-10.213958758617549,-19.588764410927567,65.53687414679409
13.999,51.74635895414502,-42.16395537150257,-10.213958758617549,-19.588764410927567,65.94482707516114
14.099999999999998,52.08266182911984,-42.433839855203885,-10.213958758617549,-19.588764410927567,66.35334512070348
14.198999999999998,52.41154453666096,-42.697391523057846,-10.213958758617549,-19.588764410927567,66.75299476423828
14.299,52.74224868721309,-42.961883983738225,-10.213958758617549,-19.588764410927567,67.1549460168599
14.4,53.07355605047314,-43.226251598549275,-10.213958758617549,-19.588764410927567,67.55768151184478
14.5,53.397326792709315,-43.48521544521626,-10.213958758617549,-19.588764410927567,67.95171831180285
14.599,53.71514906173166,-43.739172238898,-10.213958758617549,-19.588764410927567,68.33866420236154
14.7,54.03703797657235,-43.996326657944394,-10.213958758617549,-19.588764410927567,68.73077677654592
14.799,54.35147096950172,-44.24679832972304,-10.213958758617549,-19.588764410927567,69.11377107868718
14.899,54.66815416158727,-44.49814801676081,-10.213958758617549,-19.588764410927567,69.49939545501647
15.0,54.98665971136411,-44.749789567946664,-10.213958758617549,-19.588764410927567,69.8870362500819
15.099999999999998,55.29929112751149,-44.99637370970999,-10.213958758617549,-19.588764410927567,70.2675780208907
15.198999999999998,55.60550433315565,-45.238237817257755,-10.213958758617549,-19.588764410927567,70.64062009716034
15.299,55.91419141914052,-45.481310285348,-10.213958758617549,-19.588764410927567,71.01659086291802
15.399,56.22301503571029,-45.723243202042596,-10.213958758617549,-19.588764410927567,71.39245386335621
15.499,56.531149516911654,-45.96330530052945,-10.213958758617549,-19.588764410927567,71.76716439883492
15.599,56.838022943168234,-46.201711619644264,-10.213958758617549,-19.588764410927567,72.14026066816335
15.698999999999998,57.1427096446748,-46.438025214167666,-10.213958758617549,-19.588764410927567,72.5107135813149
15.799,57.4450079780202,-46.67188092629268,-10.213958758617549,-19.588764410927567,72.87819276062145
15.9,57.748869354694236,-46.90654333552928,-10.213958758617549,-19.588764410927567,73.2475736835902
15.999,58.04620293603653,-47.13560919497868,-10.213958758617549,-19.588764410927567,73.60895551586724
16.099999999999998,58.3497612348373,-47.367623829404124,-10.213958758617549,-19.588764410927567,73.97735281782097
16.2,58.65002071959073,-47.595452603018764,-10.213958758617549,-19.588764410927567,74.34125539069213
16.3,58.948236026193214,-47.82096195036058,-10.213958758617549,-19.588764410927567,74.70251779798103
16.399,59.24208536840607,-48.04291404364365,-10.213958758617549,-19.588764410927567,75.05851515381882
16.499,59.53949388200913,-48.26649677966772,-10.213958758617549,-19.588764410927567,75.41854207753711
16.599,59.836770827771026,-48.48840956605218,-10.213958758617549,-19.588764410927567,75.77792690274293
16.698999999999998,60.13319245236142,-48.70834386770748,-10.213958758617549,-19.588764410927567,76.13587584864351
16.799,60.42720250508997,-48.92595845503282,-10.213958758617549,-19.588764410927567,76.49081395217739
16.899,60.72088456003014,-49.14250519911577,-10.213958758617549,-19.588764410927567,76.84514032270691
17.0,61.01857290206217,-49.36068133087283,-10.213958758617549,-19.588764410927567,77.2038898234918
17.099,61.309916206065694,-49.572619463854416,-10.213958758617549,-19.588764410927567,77.55447281619912
17.198999999999998,61.60315277995845,-49.78483098390567,-10.213958758617549,-19.588764410927567,77.90699548964773
17.299,61.89504540084871,-49.995267794514184,-10.213958758617549,-19.588764410927567,78.25767648535181
17.399,62.1864799603605,-50.2047263651252,-10.213958758617549,-19.588764410927567,78.60763737119551
17.5,62.48259894977378,-50.41610087174856,-10.213958758617549,-19.588764410927567,78.9627391616966
17.599999999999998,62.77529692208412,-50.6236733018117,-10.213958758617549,-19.588764410927567,79.31328397367189
17.7,63.067073978830095,-50.829203944258,-10.213958758617549,-19.588764410927567,79.66225468377448
17.8,63.357962609022934,-51.033185671796765,-10.213958758617549,-19.588764410927567,80.00986965466997
17.9,63.6491314048801,-51.23702931651265,-10.213958758617549,-19.588764410927567,80.35775482201497
17.999,63.93786995309153,-51.43759411690242,-10.213958758617549,-19.588764410927567,80.70217874959033
18.099,64.22953789366136,-51.63837369602943,-10.213958758617549,-19.588764410927567,81.04943953628272
18.2,64.52215653121415,-51.83898355030822,-10.213958758617549,-19.588764410927567,81.39756484780789
18.299,64.80907778894155,-52.035334384485985,-10.213958758617549,-19.588764410927567,81.7388274681342
18.399,65.1002646888504,-52.233028901832306,-10.213958758617549,-19.588764410927567,82.08459208430821
18.5,65.39443954773837,-52.43112780991982,-10.213958758617549,-19.588764410927567,82.43331079171836
18.6,65.68480700480016,-52.62536561568292,-10.213958758617549,-19.588764410927567,82.77704792738257
18.699,65.97128442635834,-52.81602811187285,-10.213958758617549,-19.588764410927567,83.11583683153333
18.799,66.2618089663188,-53.008642759101676,-10.213958758617549,-19.588764410927567,83.45915958075047
18.9,66.55527603870159,-53.20266204890777,-10.213958758617549,-19.588764410927567,83.80578456039015
18.999,66.84427390948225,-53.39173171039903,-10.213958758617549,-19.588764410927567,84.1463714023376
19.099,67.13523368564195,-53.581093011602384,-10.213958758617549,-19.588764410927567,84.48891036979555
19.2,67.42861199033587,-53.77144218666522,-10.213958758617549,-19.588764410927567,84.8340984063964
19.3,67.72069812643596,-53.96028126093388,-10.213958758617549,-19.588764410927567,85.17753174612004
19.4,68.01414545687453,-54.14847386220712,-10.213958758617549,-19.588764410927567,85.5219843461712
19.499,68.30420985865412,-54.333567689331446,-10.213958758617549,-19.588764410927567,85.86212295223832
19.6,68.59866465086982,-54.520444315054185,-10.213958758617549,-19.588764410927567,86.20702911949837
19.699,68.88758255547522,-54.70368922668203,-10.213958758617549,-19.588764410927567,86.54543190186999
19.8,69.1831768803562,-54.89085526994719,-10.213958758617549,-19.588764410927567,86.89155751102678
19.9,69.4772795622015,-55.074935379467874,-10.213958758617549,-19.588764410927567,87.23509497394986
19.999,69.76796220221186,-55.25572269245178,-10.213958758617549,-19.588764410927567,87.57419479298883
20.1,70.06319185951862,-55.43881096287141,-10.213958758617549,-19.588764410927567,87.9184096145026
20.199,70.35392728120563,-55.618507048100476,-10.213958758617549,-19.588764410927567,88.25716183645864
20.299,70.64818639816072,-55.79917949761137,-10.213958758617549,-19.588764410927567,88.59955236966954
20.399,70.94241361995405,-55.97884100833384,-10.213958758617549,-19.588764410927567,88.94152265626262
20.499,71.23585795046215,-56.15667015176551,-10.213958758617549,-19.588764410927567,89.28204955204313
20.6,71.53051019554096,-56.334318416637615,-10.213958758617549,-19.588764410927567,89.62362380412844
20.7,71.82185423223704,-56.51013980412579,-10.213958758617549,-19.588764410927567,89.96145048850607
20.8,72.11413051969697,-56.68536000814298,-10.213958758617549,-19.588764410927567,90.29989861080392
20.9,72.40602792370156,-56.859362293030046,-10.213958758617549,-19.588764410927567,90.63751798166126
21.0,72.69684366772097,-57.03196898406629,-10.213958758617549,-19.588764410927567,90.97359357354891
21.099,72.98391694503201,-57.202096253649735,-10.213958758617549,-19.588764410927567,91.30525315616106
21.2,73.2770658259884,-57.375609163573024,-10.213958758617549,-19.588764410927567,91.64385861882838
21.299,73.56547529020092,-57.54544600773179,-10.213958758617549,-19.588764410927567,91.97664511919045
21.399,73.85677944270047,-57.716017237110165,-10.213958758617549,-19.588764410927567,92.31238502923756
21.5,74.14966100328222,-57.886858042091276,-10.213958758617549,-19.588764410927567,92.64968599575386
21.599,74.43563788192759,-58.05378381104482,-10.213958758617549,-19.588764410927567,92.97909404193175
21.699,74.7253949097922,-58.22270524875722,-10.213958758617549,-19.588764410927567,93.31278147321574
21.8,75.02028812683062,-58.39322590055501,-10.213958758617549,-19.588764410927567,93.65181831459287
21.899,75.30896549692805,-58.559311057574035,-10.213958758617549,-19.588764410927567,93.98337129066098
22.0,75.60246120368761,-58.727569979743784,-10.213958758617549,-19.588764410927567,94.3202207191031
22.1,75.89282014279979,-58.89358995974925,-10.213958758617549,-19.588764410927567,94.65329727062273
22.2,76.18476254730518,-59.060403441379556,-10.213958758617549,-19.588764410927567,94.9881536353287
22.299,76.47505166259052,-59.225527764416896,-10.213958758617549,-19.588764410927567,95.32081376566629
22.399,76.77023343432633,-59.392110395475264,-10.213958758617549,-19.588764410927567,95.65853878783957
22.5,77.068571259059,-59.5596098186769,-10.213958758617549,-19.588764410927567,95.99952358682205
22.6,77.36302565835362,-59.724626904732716,-10.213958758617549,-19.588764410927567,96.3359520516201
22.7,77.65858351915001,-59.890341168979916,-10.213958758617549,-19.588764410927567,96.67368191779619
22.8,77.95523049556377,-60.05614951962577,-10.213958758617549,-19.588764410927567,97.01244864075605
22.9,78.25247356406902,-60.22114451408526,-10.213958758617549,-19.588764410927567,97.35142505763318
23.0,78.54963040199276,-60.385002104459915,-10.213958758617549,-19.588764410927567,97.68985500358164
23.1,78.84637568235989,-60.54839379893976,-10.213958758617549,-19.588764410927567,98.02772266222482
23.199,79.14083990638726,-60.71041285629601,-10.213958758617549,-19.588764410927567,98.36295042000326
23.299,79.43911472409013,-60.8733045935553,-10.213958758617549,-19.588764410927567,98.70201032900387
23.4,79.73982398813772,-61.03695228600826,-10.213958758617549,-19.588764410927567,99.043603067429
23.5,80.03667306832813,-61.19890575198193,-10.213958758617549,-19.588764410927567,99.38098614717717
23.6,80.33440562796163,-61.36075440579271,-10.213958758617549,-19.588764410927567,99.7191327740862
23.7,80.63288630261098,-61.52244358185572,-10.213958758617549,-19.588764410927567,100.05789677176509
23.799,80.927374649929,-61.681405391413946,-10.213958758617549,-19.588764410927567,100.39189748281464
23.902,81.23279308111688,-61.84674339211083,-10.213958758617549,-19.588764410927567,100.73849914313841
23.999,81.52152082537032,-62.002783223180295,-10.213958758617549,-19.588764410927567,101.066053679316
24.1,81.82321590951696,-62.16454754974495,-10.213958758617549,-19.588764410927567,101.40778486278215
24.199,82.11766826426039,-62.32214620117967,-10.213958758617549,-19.588764410927567,101.74119749601581
24.3,82.4164072545096,-62.48241391949802,-10.213958758617549,-19.588764410927567,102.07962517510526
24.4,82.71327055975023,-62.640886367564164,-10.213958758617549,-19.588764410927567,102.41560014840329
24.499,83.00719089226172,-62.796885654532794,-10.213958758617549,-19.588764410927567,102.74786851138917
24.599,83.3023797439536,-62.953190258051116,-10.213958758617549,-19.588764410927567,103.08141925671255
24.7,83.60145372788628,-63.11177594874856,-10.213958758617549,-19.588764410927567,103.41945732469378
24.8,83.89848164438934,-63.268836531964844,-10.213958758617549,-19.588764410927567,103.75500054989418
24.899,84.1934716281241,-63.42383175997527,-10.213958758617549,-19.588764410927567,104.08782849941207
25.0,84.4932058928829,-63.58039201644135,-10.213958758617549,-19.588764410927567,104.42562106929802
25.099,84.7868567093127,-63.73407711438498,-10.213958758617549,-19.588764410927567,104.75668748704196
25.2,85.0869719318646,-63.89146407956956,-10.213958758617549,-19.588764410927567,105.09517871149929
25.3,85.38529165486614,-64.04679201483381,-10.213958758617549,-19.588764410927567,105.43117612001514
25.4,85.68340283567784,-64.20098047362384,-10.213958758617549,-19.588764410927567,105.76650595898371
25.5,85.98042149325765,-64.35439484976828,-10.213958758617549,-19.588764410927567,106.10052054834236
25.6,86.27904674730067,-64.50880641659816,-10.213958758617549,-19.588764410927567,106.43641428268981
25.699,86.57581068966357,-64.66188965834199,-10.213958758617549,-19.588764410927567,106.77006176555543
25.799,86.87550445741141,-64.81558909543325,-10.213958758617549,-19.588764410927567,107.10662695939806
25.899,87.17425139394803,-64.96778648449536,-10.213958758617549,-19.588764410927567,107.44170103397298
25.999,87.47288218416648,-65.11955635177976,-10.213958758617549,-19.588764410927567,107.77649051691171
26.1,87.77320598208159,-65.27175556099994,-10.213958758617549,-19.588764410927567,108.11299706482335
26.2,88.07091383494068,-65.42229231582427,-10.213958758617549,-19.588764410927567,108.4464312964743
26.3,88.37031900557895,-65.57374985037795,-10.213958758617549,-19.588764410927567,108.7817940105545
26.399,88.66860584316395,-65.72360548231397,-10.213958758617549,-19.588764410927567,109.11546701960988
26.499,88.97074922252092,-65.87410061387368,-10.213958758617549,-19.588764410927567,109.45290605883184
26.6,89.27451942544195,-66.02506682389586,-10.213958758617549,-19.588764410927567,109.79201916882997
26.7,89.57557799044805,-66.17513869038872,-10.213958758617549,-19.588764410927567,110.1282975129424
26.8,89.87844509235717,-66.32519947558119,-10.213958758617549,-19.588764410927567,110.46621054068616
26.899,90.1782581002228,-66.47266021460683,-10.213958758617549,-19.588764410927567,110.80025673058111
27.0,90.48229990498189,-66.62185850808818,-10.213958758617549,-19.588764410927567,111.13887010942162
27.1,90.78347325512874,-66.77017937804995,-10.213958758617549,-19.588764410927567,111.47451364177869
27.199,91.08257871429164,-66.91721550076629,-10.213958758617549,-19.588764410927567,111.80774028019594
27.3,91.38970317387803,-67.06791141504654,-10.213958758617549,-19.588764410927567,112.1497816240923
27.399,91.69292939564917,-67.21585346250451,-10.213958758617549,-19.588764410927567,112.48712577363273
27.499,91.99999706847979,-67.36494870217717,-10.213958758617549,-19.588764410927567,112.82843857492334
27.6,92.31031766285881,-67.51590667627647,-10.213958758617549,-19.588764410927567,113.17348727272783
27.7,92.6194900362273,-67.66616804635053,-10.213958758617549,-19.588764410927567,113.51720103739943
27.8,92.93074480510698,-67.81654204709992,-10.213958758617549,-19.588764410927567,113.86284911670134
27.9,93.24095302753659,-67.96700225826496,-10.213958758617549,-19.588764410927567,114.20758586842857
28.0,93.5520541773304,-68.11817777270684,-10.213958758617549,-19.588764410927567,114.55343470128584
28.1,93.8642337532402,-68.26932653939723,-10.213958758617549,-19.588764410927567,114.90024928466917
28.199,94.17238636049325,-68.41794270126924,-10.213958758617549,-19.588764410927567,115.24234334582096
28.299,94.48104426153311,-68.56731689167286,-10.213958758617549,-19.588764410927567,115.58521644439863
28.4,94.79417469237414,-68.71931062129262,-10.213958758617549,-19.588764410927567,115.93325088942385
28.5,95.10541769098805,-68.86913862460379,-10.213958758617549,-19.588764410927567,116.27865813799927
28.6,95.41728008960035,-69.01862365127525,-10.213958758617549,-19.588764410927567,116.62448115695882
28.7,95.72863328096642,-69.1672440761654,-10.213958758617549,-19.588764410927567,116.96947659104114
28.799,96.03631696781164,-69.31385978364858,-10.213958758617549,-19.588764410927567,117.3102987881645
28.9,96.34972664954735,-69.46209480367348,-10.213958758617549,-19.588764410927567,117.6569935542904
